CDC_ID	Biosample_ID	GenBank_ID	org_send_state	year
A005	SAMN08016806	CP025070	TX	1985
A747	SAMN06688234	CP020655	OH	1993
B144	SAMN08105888	CP025068	TX	1975
B149	SAMN08105889	CP025071	TX	1985
B160	SAMN08105890	CP025072	NY	1974
B271	SAMN08016807	CP025067	NH	1998
B337	SAMN06688235	CP020654	GA	1977
D577	SAMN06688237	CP020652	OH	1999
E738	SAMN06688241	CP020648	WI	2004
E762	SAMN06350663	CP019932	WI	2004
E843	SAMN06350664	CP019931	WI	2004
H100	SAMN12525329	CP043165	MA	2009
H101	SAMN12525330	CP043164	MA	2009
H102	SAMN12525331	CP043163	MA	2009
H104	SAMN12525333	CP043162	MA	2009
H105	SAMN12525334	CP043161	MA	2009
H242	SAMN12525336	CP043159	MN	2008
H314	SAMN12525340	CP043155	MN	2009
H554	SAMN12525350	CP043145	MN	2010
H555	SAMN12525351	CP043144	MN	2010
H580	SAMN12525355	CP043140	MN	2010
H581	SAMN12525356	CP043139	MN	2010
H889	SAMN06124602	CP018897	MN	2012
H904	SAMN05333721	CP016342	NY	2012
I133	SAMN12525375	CP043121	MN	2012
I139	SAMN12525376	CP043120	MN	2012
I143	SAMN12525377	CP043119	MN	2012
I267	SAMN12525379	CP043117	NY	2012
I287	SAMN12525380		OR	2012
I288	SAMN12525381	CP043116	OR	2012
I301	SAMN12525382	CP043115	OR	2012
I308	SAMN12525383	CP043114	OR	2012
I325	SAMN12525384	CP043113	MN	2012
I326	SAMN12525385	CP043112	MN	2012
I440	SAMN06688243	CP020646	OR	2012
I457	SAMN12525386	CP043111	NY	2012
I458	SAMN12525387	CP043110	NY	2012
I768	SAMN12525389	CP043109	VT	2012
I962	SAMN12525391	CP043108	CT	2013
J069	SAMN12525392	CP043107	CT	2013
J116	SAMN12525394	CP043105	NY	2014
J156	SAMN12525395	CP043104	MN	2014
J158	SAMN12525396	CP043103	MN	2014
J166	SAMN12525397	CP043102	NY	2014
J167	SAMN12525398		NY	2014
J211	SAMN12525400		NY	2014
J217	SAMN12525402	CP043099	CA	2014
J218	SAMN12525403		MN	2014
J219	SAMN12525404	CP043097	MN	2014
J220	SAMN12525405	CP043096	MN	2014
J221	SAMN12525406	CP043095	MN	2014
J278	SAMN12525407	CP043094	MN	2014
J279	SAMN12525408	CP043093	MN	2014
J280	SAMN12525409	CP043092	MN	2014
J281	SAMN12525410	CP043091	MN	2014
J282	SAMN12525411	CP043090	MN	2014
J283	SAMN12525412		MN	2014
J284	SAMN12525413	CP043089	MN	2014
J285	SAMN12525414		MN	2014
J287	SAMN12525415	CP043088	MN	2014
J289	SAMN12525416	CP043087	MN	2014
J290	SAMN12525417	CP043086	MN	2014
J291	SAMN12525418	CP043085	MN	2014
J292	SAMN12525419	CP043084	MN	2014
J293	SAMN12525420	CP043083	MN	2014
J297	SAMN12525421	CP043082	CO	2014
J307	SAMN12525422	CP043081	NY	2014
J324	SAMN12525424	CP043079	OR	2015
J326	SAMN12525425	CP043078	MN	2014
J327	SAMN12525426	CP043077	MN	2015
J328	SAMN12525427	CP043076	MN	2015
J396	SAMN12525428	CP043075	MN	2015
J456	SAMN12525429	CP043074	OR	2016
J593	SAMN12525430	CP043073	GA	2016
J599	SAMN12525431	CP043072	MN	2016
J602	SAMN12525432	CP043071	MN	2016
J611	SAMN12525433	CP043070	NY	2016
J676	SAMN12525435	CP043069	NY	2016
J677	SAMN12525436		NY	2016
J711	SAMN12525438	CP043067	MN	2016
J778	SAMN12525441		NY	2017
J786	SAMN12525442	CP043064	MN	2017
J792	SAMN12525444	CP043063	MN	2017
J835	SAMN12525445	CP043062	MN	2017
J859	SAMN12525446	CP043061	MN	2017
J974	SAMN14124162		MN	2017
